8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,4,15,15,15,15,15,15,15,15,15,15,5,8,8,8,8,8,8
15,15,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,8,8,8,8
-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,7,8,8,8,8,8,8
-1,-1,-1,-1,-1,-1,-1,18,20,-1,-1,-1,-1,7,8,8,8,8,8,8
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,8,8,8,8
1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,8,8,8,8
8,8,8,8,9,-1,-1,-1,-1,25,-1,-1,-1,7,8,8,8,8,8,8
8,8,8,8,9,-1,-1,18,19,19,20,-1,-1,7,8,8,8,8,8,8
8,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,14,15,15,15,15,15,15
8,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,13
8,8,8,8,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
