7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
7,8,8,8,4,15,15,15,15,15,15,15,15,15,15,5,8,8,8,9
7,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,8,9
7,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,8,9
14,15,15,15,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,15,15,15,16
-1,-1,-1,-1,-1,-1,-1,-1,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
