8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
4,15,15,15,15,15,5,8,8,8,8,8,8,8,8,8,8,8,8,8
9,-1,-1,-1,-1,-1,7,8,8,8,8,8,8,8,8,8,8,8,8,8
9,-1,-1,-1,-1,-1,7,8,8,8,8,8,8,8,8,8,8,8,8,8
9,-1,-1,-1,-1,-1,14,15,15,15,15,5,8,8,8,8,8,8,8,8
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,8,8,8,8,8,8
9,-1,22,23,24,-1,-1,-1,-1,-1,-1,7,8,8,8,8,8,8,8,8
11,1,1,19,19,19,19,20,-1,-1,-1,7,8,8,8,8,8,8,8,8
8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,8,8,8,8,8,8
8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,8,8,8,8,8,8
8,8,9,-1,-1,-1,18,19,19,19,19,15,15,15,15,15,15,15,15,15
8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13
8,8,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
